"imputation","analysis","n","limited","colectomy","RD_pp","CSM_limited_pct","CSM_colectomy_pct","max_abs_weighted_SMD","ESS_limited","ESS_colectomy"
3,"Q3",1390,554,836,-1.52838332925044,14.3900070348034,12.861623705553,0.00262453672069633,528.196869970102,777.77420319144
3,"Q4",1390,506,884,-1.17023152881935,22.5684094980737,21.3981779692543,0.00319735113110245,490.233824303146,820.907245597594
3,"Q5",1390,461,929,-7.0312759973576,40.4471586099167,33.4158826125591,0.000358739551755977,451.891868670839,873.083092498046
3,"bottom_decile",696,392,304,-0.0326443758553729,6.46182351649097,6.4291791406356,0.000437901797868352,360.351694873742,295.743905014458
3,"risk_lt_5pct",581,332,249,0.237825665969267,6.74634040191249,6.98416606788176,0.00411096543100598,304.225444008369,240.272812293113
4,"Q1",1391,714,677,-0.884836413494219,6.23768010748983,5.35284369399561,0.00594079170887053,678.662973563702,656.346637897741
4,"Q2",1390,643,747,-2.65827638178379,10.444628309362,7.78635192757823,0.00194684216910439,599.61866760053,699.135522137935
4,"Q3",1390,563,827,-1.97945910075224,15.9963155338913,14.0168564331391,0.00349205162651019,535.821000352638,766.806900360846
4,"Q4",1390,497,893,-3.59374164249948,23.666641202027,20.0728995595275,0.00229640180559061,486.061840032319,843.765094331827
4,"Q5",1390,460,930,-5.37096740407652,39.4804336018638,34.1094661977873,0.000845187563946188,450.419122263381,870.147704219585
4,"bottom_decile",696,384,312,1.41056094775381,5.14955812687825,6.56011907463206,0.0111192412035244,352.961797592182,301.569414939899
4,"risk_lt_5pct",613,343,270,2.23037355179056,4.54971109188995,6.78008464368051,0.0147320379319561,315.259393654292,261.732025995058
5,"Q1",1391,708,683,-2.06690079565518,7.220086444512,5.15318564885682,0.00726237558926826,667.255541516698,658.656187407547
5,"Q2",1390,653,737,-2.24848769019428,9.85788495364218,7.60939726344791,0.00339545130686687,611.342753871779,694.204589471301
5,"Q3",1390,554,836,-2.53007984965437,15.977979573921,13.4478997242667,0.000562069594569561,525.310820643325,767.781879391367
5,"Q4",1390,503,887,-3.29770050246374,24.588417313435,21.2907168109713,0.00279444224915536,490.498550258171,826.464354861481
5,"Q5",1390,459,931,-3.4389371254215,37.2892184738531,33.8502813484316,0.000597049375797303,450.387443169115,879.669331440262
5,"bottom_decile",696,383,313,1.06446780932855,4.5599577707753,5.62442558010385,0.00512305127859927,353.949442634588,303.094645958252
5,"risk_lt_5pct",575,324,251,1.38800145020878,4.61210666840885,6.00010811861763,0.00105469255637181,297.544706218396,242.199139143771
6,"Q1",1391,714,677,-0.890935652165418,6.47781163203373,5.58687597986832,0.00165725106544675,682.121285310117,657.563546234454
6,"Q2",1390,657,733,-2.8375873596999,11.4915323262847,8.65394496658477,0.00199351444508992,606.798150946867,684.464883010082
6,"Q3",1390,555,835,1.68762684840302,12.7526649017933,14.4402917501963,0.00151572761631096,530.058526115243,779.394966625739
6,"Q4",1390,495,895,-4.56934110365479,23.9384350446441,19.3690939409893,0.00377716512854194,481.562874823494,835.170915603111
6,"Q5",1390,456,934,-5.92628044998916,39.9456081457874,34.0193276957982,0.00131855032028945,446.572292142125,871.948833604645
6,"bottom_decile",696,387,309,1.81679176779845,4.30611120740212,6.12290297520057,0.0113629171010629,359.65305149522,301.244496538929
6,"risk_lt_5pct",597,339,258,2.69119832390806,4.20794290829045,6.89914123219852,0.0109760843014029,313.67889833444,251.622750392036
7,"Q1",1391,722,669,-0.97255456806349,6.18550061868577,5.21294605062228,0.00341656908163032,686.77331273081,648.386301023775
7,"Q2",1390,653,737,-1.95868212844968,11.3575088751569,9.39882674670718,0.00248677597627329,606.484154646145,692.392025342019
7,"Q3",1390,530,860,-1.02129866094998,14.7119163014513,13.6906176405013,0.00250544211070582,504.934758103892,775.097773350147
7,"Q4",1390,512,878,-4.38920020949127,24.1934340800883,19.804233870597,0.00409250479232514,496.049474342078,823.954797778885
