"nonmucinous_low","nonmucinous_high","mucinous_low","mucinous_high","GCA_low","GCA_high","SRCC_low","SRCC_high"
-0.041063589346917,-0.096033921021224,-0.0437544668732255,-0.10413560368159,-0.011918149167114,-0.00132658503256908,NA,0.0188747768148753
-0.0156742790114336,-0.132206688060057,-0.0360242590909518,-0.0419434593758873,-0.0505651889279786,-0.0398982330097521,NA,0.0657150478184256
-0.00567220888774506,-0.0772373892265538,-0.0398424862276411,0.0289809494451018,-0.0126765307907518,0.0328517025410064,NA,0.171777831183828
-0.00617029753604684,-0.0941255283522936,-0.0448290533456951,-0.111012585186096,-0.0155034731435588,0.00802990981146716,NA,-0.0802096468772082
-0.029900468364514,-0.117314113828603,-0.0314086723737424,-0.0674625899393616,-0.0223869799366678,0.00685858365004804,NA,-0.0662453459789389
0.0115039767483453,-0.0705189656476842,-0.0211251807400814,0.0309494078204669,0.00360371256457753,-0.0107559079465627,NA,0.0671411595056121
-0.0238336731515166,-0.0484898936916521,-0.0281765340342621,0.0147364101242839,-0.0336414955742926,0.0370189435732706,NA,0.0463903375277626
-0.0352967018963683,-0.130405845604893,0.00190158025498491,-0.0601169956179104,-0.00299415785022458,0.0188557268975901,NA,0.0473879847720532
0.0504573563211857,-0.0357202681212768,0.0103306420862629,-0.0497211277594919,-0.0229383359458252,0.0861501554704144,NA,-0.0301774816555862
-0.0405310264546667,-0.101571751691033,0.00177265474234295,-0.0271760276832221,-0.0287008667162926,0.0614266051621808,NA,0.00761865532891232
-0.0620058456694055,-0.0651808183021935,-0.0188089334523649,0.0230172772087362,0.013529308716908,-0.0067540141935955,NA,0.0255875030137646
-0.068165609661175,-0.11335496497285,-0.0242656657681169,-0.0180238509218023,-0.0138093838136974,-0.028017614347728,NA,-0.0450779395563576
-0.0405993396500989,-0.0766736417391942,-0.049907816893718,-0.0671295387696648,-0.0277564554482977,-0.0177366253308796,NA,-0.0161172196366381
-0.0641106353472135,-0.0521794772776088,-0.025967757372766,-0.0136399993300763,-0.00216130850350425,0.0657391910808531,NA,0.0151732546418922
-0.0433458286294992,-0.113005566708312,-0.00995654260793447,-0.000848682067924489,0.00289232130078605,-0.0414956479931791,NA,-0.0151721690828672
0.0156179397081882,-0.100359005898795,-0.0522568085920273,-0.0239083529285059,-0.0132030462129482,-0.0314578853399324,NA,0.169420900373514
-0.0250501446882951,-0.0943447016410615,-0.031175336146605,0.0376296951123085,-0.00534981715037337,0.0860745085601008,NA,0.14054585550664
-0.0469577091558803,-0.0317629107688602,-0.00840139037567317,0.00456764496113493,-0.0186071832367088,-0.0139619040051904,NA,0.0771889653266402
-0.0598880115998544,-0.0511563613052314,-0.0711181328085909,-0.0624153678403325,-0.0274532371719894,0.0383223537191265,NA,0.0340078039494685
-0.0924511795060139,-0.0793610856666587,-0.055123442235426,-0.034656007678911,-0.0203791126483649,-0.017835880895948,NA,0.0278828441350388
-0.0246005238187411,-0.0799058512486844,-0.0401194183161016,-0.0139853098886643,0.00637342556060983,0.040992813174345,NA,0.0470992460363224
-0.0401734677722632,-0.0341926666595537,-0.0149805768380483,-0.030678991118438,-0.00720999093756371,0.0376974725628184,NA,0.0389530791926914
-0.0786751651848087,-0.0587248666061667,-0.0339967772524066,0.0278406424044574,-0.0156287436769826,-0.0149595758697165,NA,0.0573580680599032
-0.0552454171796842,-0.10931577403547,-0.0462975915757297,-0.0243058729197076,-0.013704559870776,0.0200877519534705,NA,0.0228954325023819
-0.00991772252844597,-0.0901301994655753,0.000020386930960764,0.03654882788659,-0.00157044255146084,-0.00756450444430043,NA,-0.0264365486017637
-0.0403003481533776,-0.0447902548308299,-0.00872431648886045,0.001105838747404,-0.00166107760790655,-0.0017326793442804,NA,-0.034910437658518
-0.0319567415603901,-0.11464207246439,0.000484157415047967,-0.011582959358987,-0.00493343657247838,0.0216451210824588,NA,-0.0935593707590268
-0.022434154485873,-0.101718636677228,-0.0361625998449415,0.0113825922967575,-0.0273038364073607,0.0812912796027032,NA,-0.0037345319278177
-0.0836078113644388,-0.058388421682143,-0.043773198393312,-0.0420354940575875,-0.0202310107802498,0.0396953129383059,NA,0.00623710898920743
-0.0729228100279978,-0.082922403840566,-0.0756523078969343,0.0320510105626868,-0.0411795377439402,-0.0267702426361429,NA,-0.0195038619776403
-0.0799204483321336,-0.0717074455273201,-0.0578490250344681,-0.0699575925028751,-0.0146445991780261,0.00748400967914953,NA,-0.0873768765381135
-0.00254397341897108,-0.102647293869232,0.0100836023415721,0.0340341120123733,-0.0224450973800193,-0.010215252498005,NA,0.11845527092504
-0.0701948833587727,-0.0767875369938355,-0.0320119603140016,-0.0702496282500332,-0.01275130828373,0.0429238513601536,NA,0.020187272595296
0.000318283521612756,-0.0034914090989776,-0.00195879526384354,-0.0375136101012767,0.00816359704169774,-0.0607963545581697,NA,0.0771217527588124
-0.0215786941992611,-0.0541675876550425,-0.0450278977189273,-0.00876470856888434,-0.0219844556067547,0.0424180862898665,NA,-0.00582155619762359
-0.0288899055539114,-0.078817084696489,-0.04341042932381,-0.116469827309335,0.0220630164309947,0.0586214277288777,NA,0.0441047583732731
-0.0700364572293281,-0.0593761337166096,-0.0321620804552048,-0.0120169896560371,-0.00197764354283628,0.0716417262214397,NA,0.00810752563529155
-0.0545865616103803,-0.0965647324274841,-0.00345332780590039,-0.00187340226472568,-0.0231835814993439,0.0229651106481317,NA,0.0221212645898715
0.00500303673600677,-0.0751732225824888,-0.040063848455132,0.000215928331256721,-0.00756014816585786,0.0428626856531347,NA,-0.0198817540216063
-0.00692816365303983,-0.10025928766082,-0.0141158422486134,-0.0462454925976971,-0.0196070754365985,-0.000325951466376095,NA,0.0581131547378251
-0.023055618014435,-0.0432037016638387,-0.0318552196613189,-0.0260006032295675,0.00656176767507477,0.0565199330850425,NA,0.143127993080401
-0.0229043742786111,-0.0492813977245081,-0.00824461794045013,-0.0534368055313226,0.00376183653178137,0.0459250689311517,NA,-0.00428240341061054
-0.0179486660883802,-0.0959600660780275,-0.019049104687109,-0.0039363228620094,0.000247859460035117,-0.0303112415786864,NA,0.00390250767876732
-0.0442045204054514,-0.0713189940593593,0.00637194876743444,-0.0803446466702271,-0.0141785861878002,0.0204584911208233,NA,0.0995361056324445
