"replicate","Q1","Q2","Q3","Q4","Q5","bottom_decile","risk_lt_5pct","overall"
30,0.0377330969544443,-0.0529344438457493,0.0465540335960488,0.00605915427724035,-0.0583078921938514,0.0599020620110813,0.0293978324211097,-0.00515894913822235
31,-0.0148598854326581,-0.0119916012783149,-0.0195882613574282,-0.00061938513876611,-0.0805139159183008,0.0604864441030853,0.0603538280753065,-0.0233696822174373
32,0.0240380357402423,-0.0547411635960652,-0.0438175650576301,-0.034036757510707,-0.0607558619685442,0.043731457054801,0.0392229928594499,-0.0315433637018063
33,0.0226185539580676,-0.0274014172271983,-0.0286270214530113,-0.0627059392340204,-0.0738412025941521,0.0582821113258937,0.046827864279921,-0.0398954706274985
34,0.023282693769024,-0.0529044619123266,0.012432316521552,-0.0472428478361892,-0.0602397015461478,0.0427242261858473,0.0445201071453287,-0.0264933145962664
35,0.0186888429140535,-0.0471502931034201,0.031254453930081,0.00302906309721426,-0.0667197191618146,0.0536004259920087,0.0419599402387073,-0.00875202048217882
36,-0.00607748068451096,-0.00609532387101593,-0.0554495085103308,0.031504306622287,-0.034982948504473,0.00413843283890091,0.0129056705833634,-0.0161172343062359
37,-0.0223999063192698,-0.0355418558857856,-0.0436037729012145,-0.0470673196857791,-0.0622654308207645,0.0153899030069664,0.00168899789418635,-0.0393175446599689
38,0.00408335283967066,-0.0268445923273429,0.0164314470995784,-0.0962440726493635,-0.0602509835158561,0.0253823648609166,0.0140960059011177,-0.0312986200756504
39,0.0028220507587204,-0.00407552271825727,-0.00570030725771689,-0.104022102829326,-0.102233714327054,0.0494784559107661,0.0540352960139035,-0.0417118414468226
40,0.0112257394468673,-0.0198997871521233,-0.0082688330323259,-0.072520437921804,-0.0823946721471775,0.0557848065210015,0.0310962636108499,-0.0336524545050609
41,0.0154467386332866,-0.0594776761969837,0.00592761339867276,-0.0612896141998218,-0.0237928150173342,0.0615826693267388,0.0542119609830292,-0.0256505565212093
42,-0.0134466464078986,0.0457162962061294,-0.0306412227855369,-0.052477759696172,-0.0795617183758798,0.0202479041599555,0.0354775800842685,-0.0255222575935455
43,0.0019808068474379,0.0342624325338299,-0.0410516174614837,-0.0160364546917219,-0.0600701111991702,0.0362441942643654,0.0355423368602998,-0.0104890960553514
44,-0.00351925298442483,-0.0131071638069133,-0.033895849800804,-0.0637724190102439,-0.128254632394768,0.00400969233483052,0.00398735581500897,-0.0461161409507106
45,-0.00763726689942149,-0.00192965396223857,-0.000397970435923573,-0.0237628929869907,-0.0744590575176427,0.0367044225347625,0.0565705025196157,-0.0165174665629958
46,-0.018746050809542,-0.0415920063580535,0.0269856296991811,-0.028328272740752,-0.0473741681799323,0.0204390164927542,0.020169468988542,-0.0195856861253819
47,0.0118138524287975,-0.0397532516614519,0.0000197566869648003,-0.0368515786514166,-0.0297704357415361,0.0558583680396258,0.0506467396579535,-0.0214508887024528
48,0.0138434356811551,-0.00729182443310532,-0.0405000723287542,-0.00500571172873152,-0.023578131701702,0.016763952015291,0.0152780031294061,-0.0103361378656875
49,-0.0230020805910921,0.0131927129054888,0.00457211803717067,0.0143251852616912,-0.0851414531052986,0.0140960751517657,0.0129350281548248,-0.0159230816621834
50,0.0154149188628654,-0.0413751075679468,0.0264104834504401,-0.0313946725234118,-0.0769267126006716,0.055237296077961,0.0526891370459052,-0.0213734795968794
51,0.00595036396402236,-0.0547825936846392,-0.0180996860425836,-0.0570931922971554,-0.0675508380264134,0.0577119187047313,0.0613820170524388,-0.0343351451979753
52,0.0181498721855433,-0.0112154445825219,-0.0260657229740581,-0.0648098312850692,-0.0490815550496309,0.0216140997686474,0.0246976814056792,-0.026342119577066
53,0.0156290819495311,-0.0579328583284823,-0.0227800973482933,-0.039317333018463,-0.0447760675957172,0.0444410883775413,0.0488918244130469,-0.0299914298433739
54,0.022197091101917,0.0153106788170486,-0.055757299253999,-0.0181068321036328,-0.0508568086636187,0.0583179921106959,0.0602991473069895,-0.0143188791928198
55,-0.0225314098405588,0.00542426341741545,-0.0443019527392207,-0.0190444642444948,-0.0290899230695582,0.0256467145735876,0.0288073873798821,-0.0218055506783291
56,-0.0150129370638572,-0.042578630132453,-0.0379605995336245,-0.0275906195097005,-0.0368945575668574,0.0247110593599118,0.0290027920022406,-0.0303981995912584
57,-0.0148609747450637,-0.0703214060282969,0.0604473417591301,-0.0838495829923673,-0.0879388793075999,0.0141175778972956,0.014104977828735,-0.0371744027803738
58,-0.00036608295508217,-0.00542505295179908,-0.0665710418849769,0.000372428717721085,-0.0436267320752171,0.0581812141012115,0.0831994221525309,-0.0220983207299879
59,0.0169422305357066,-0.0234465163732442,0.0466019585678136,-0.0187696136403099,-0.0823866176675014,-0.0291037194015737,-0.0102143917434011,-0.00576414875758915
60,-0.00726699799243567,-0.0301896270957698,0.00476003770664202,-0.0142486456213148,-0.0606038302207265,0.0397524252809488,0.0307693947520482,-0.0205546634137365
61,0.012124934662435,-0.0489215222284776,0.029330832718771,-0.0301050536286715,-0.0229457167310872,0.0501045073782794,0.0496445606763977,-0.010636413201577
62,-0.0110049597821441,-0.0193532323810166,0.0154363458394169,-0.00225044081489129,-0.100517001504764,0.0239483499096833,0.0197549341956976,-0.0209850378527093
63,-0.011547699629738,-0.0195245978722615,0.033499156831514,-0.0635990920675057,-0.0987126242319676,0.0172428041166935,0.0143251870069403,-0.0303339062301727
64,0.00791041896206891,0.00805692096602793,-0.0297784866998708,-0.0270431978579711,-0.0506457178066949,0.0411184592812296,0.0291611588701876,-0.0181278193742137
65,-0.00514704817075558,0.0362355504955426,-0.0331863819395361,-0.0185688818394255,-0.0930462168881981,0.00314598306573823,0.0255648760699665,-0.023149876765777
66,-0.00662734258282381,-0.0027666621917795,0.0127146708631064,0.0130339942283684,-0.0547715424114199,0.00433323734488384,-0.00103998636505804,-0.00291267042467824
67,0.000819011649448191,-0.0317481917613627,-0.00513324079801375,-0.0315149330774194,-0.00098039986750903,0.0304466311085535,0.026492023510477,-0.0137956169686711
68,0.0249133721041191,-0.019211846392415,-0.00367742744932067,-0.0644097051927983,-0.00673221907011196,0.0287105188878092,0.0267909306571291,-0.012393975057672
69,0.00858574304649624,-0.0893643879424157,-0.0183350065787361,0.0348481193197095,-0.0459865497427967,-0.00162697359839273,-0.0114275633444359,-0.0196851186031784
70,-0.00940635081082047,-0.045735453618969,0.001055187282827,-0.0981630124117822,-0.0284788441419317,-0.0141168812301904,-0.0221046769482184,-0.0344670482908403
71,0.0278722645807841,-0.0385829196919192,-0.00722258040855633,-0.0934528420482899,-0.0442549634116835,0.031007903672938,0.0348620850436081,-0.0304919424918851
72,0.00173052899376125,-0.0160236395534026,-0.0169179034570622,0.00234805690939163,-0.0325234798488297,0.00694749350295268,0.0216944390015898,-0.0162626306737827
73,0.00356930418997587,-0.00594232536426838,-0.0577753598137741,-0.0503011063451072,-0.016700678542663,0.0496281486493725,0.0449219901285079,-0.0256930729032264
74,0.00103860729825871,-0.0380456232840741,-0.0127324939144697,-0.0387780103040636,-0.0505701819863582,0.034365740608885,0.0414725549244431,-0.028648478554393
75,-0.0254348893523447,-0.0559583947906617,0.0488473544701747,-0.0668274401858701,-0.0972203747473218,0.0324226975851361,0.0266901350891375,-0.037582667551205
76,-0.00677374595737074,-0.0352739463564128,0.044083735294107,0.0194738679145045,-0.0456310831908783,0.0185585436570111,0.0185871393776699,-0.00544245718546477
77,0.0381199406876713,-0.06014066115517,-0.0174795870016395,-0.00932774604930839,-0.0418061448202633,0.0551935893399661,0.0435983494951777,-0.0171229388985447
78,0.000486115383135102,-0.0328767871888501,-0.00205463746808268,0.0812884057684887,-0.101987735704626,0.0333439561700599,0.0369181071249123,-0.00827094220656555
79,0.0259273125644044,-0.0577973382692956,-0.0173616990944073,-0.0221797423906679,-0.113691241538158,0.0431536422809012,0.0530777725289701,-0.0361198037740231
80,0.024167564457411,-0.0758294573106016,-0.0202769585297338,-0.0277429563667362,-0.0627854666691455,0.0476569652774301,0.0207537124201727,-0.0297580069944739
81,0.0123181476540405,-0.0792756106262486,0.0293838192819129,-0.00876277367818537,0.00237227395829592,0.043800845921984,0.0435780032968855,-0.00592039392864235
82,-0.0153020447413568,-0.0318467431599059,-0.0391997909311073,-0.0198349030840191,-0.0572970374843321,-0.00773248078973662,0.0173187523594656,-0.0328021344620248
83,-0.00315755165602803,-0.0348155961978719,-0.021614404873358,-0.053004874309076,-0.105838449386647,0.0101630219434108,0.0236302145531173,-0.0430714975034154
84,-0.0205805376370727,-0.0257573241194814,0.0014447024297565,-0.0567818720643175,-0.0996399682752558,0.0180554920863449,-0.000291280692849977,-0.0411963208830765
85,-0.00354566974914947,-0.0267332906108213,-0.0386372777030033,-0.00862299824254142,-0.0229189327628379,0.04599262498646,0.0330571125829182,-0.0176029310964198
86,0.0381534420852035,-0.00390972259660116,0.0483284091217132,-0.00834380367327461,-0.0825899531781105,0.0677627771996402,0.0145352293792495,-0.000688938940264838
87,-0.0126002510588972,-0.0409395596345922,-0.000994740503029029,-0.00342174218068739,-0.0667517533407052,0.010142586016483,0.00963918044393892,-0.0220013674447803
88,-0.00835316997103361,0.00387973902409317,-0.000621226954629128,-0.0859174205456246,-0.0755575634610468,0.0112249267059865,0.00857114974507628,-0.033054894798162
89,-0.00186573980252555,-0.0330745512788073,-0.0221956457102445,-0.0402440770302868,-0.0535701474503403,-0.00841277717901343,-0.0215891566504566,-0.0315585931455245
90,0.0357397609512663,-0.0366881786100389,0.0256534411008057,-0.0788526036069757,-0.0204547376891279,0.0110068947600901,0.0200337390640789,-0.0132974039771439
91,-0.0233731958726204,-0.00568291298262627,-0.00293758735641375,-0.0198470491361757,-0.0578987036333085,0.012547524124519,0.0406741572433866,-0.0222337461463625
92,0.0244142966449102,-0.0160382292674474,-0.00152793835831588,-0.0545247819069251,-0.0626244461002453,0.0623558809535634,0.050932953507604,-0.0223857888351854
93,0.0100544454098669,-0.0245222639135241,-0.0826838752734989,0.0175077106926418,-0.0674801142148064,0.0313982516008116,0.0272022144889386,-0.0274850027629485
94,-0.00447146389164687,-0.0432690025406846,-0.0158443719326651,-0.00270692926788152,-0.0676243602107289,0.0243526035442133,0.0235197270241824,-0.0226663314435145
95,-0.00339792429089817,-0.0585472408882125,0.0026535905280746,-0.026057982659688,0.0169314382641531,0.00606248327306926,0.000434882118019002,-0.0145675724183276
96,-0.00792365740841455,-0.0183050291682844,-0.022049035733211,-0.0789554731958025,-0.00372497336435618,0.0334338690112898,0.0259911521604104,-0.0243651856406548
