"replicate","nonmucinous_low","nonmucinous_high","mucinous_low","mucinous_high","GCA_low","GCA_high","SRCC_low","SRCC_high"
92,-0.118546906226378,-0.13463606955178,-0.0762343568465631,-0.0729971645609301,-0.0112175753128528,0.0529409255442885,NA,0.0869225954183465
93,-0.0438436287315551,-0.0809409851232089,-0.0437501994570727,-0.0459837536786504,-0.0229061697427267,0.0522946072123811,NA,0.121282070192237
94,0.0138029236325667,-0.073913431198679,-0.0407869887980032,-0.0243918378930501,-0.0330741790858523,0.0369993498624913,NA,0.00223226222307193
95,-0.0485477874207483,-0.102091653300117,0.0018210740947371,0.0383357454007419,-0.0112150638396904,0.0185292476064708,NA,0.0694810150111758
96,0.00195155222925172,-0.104950088049066,0.00206252484880994,-0.0922516286745357,-0.0164660153947674,0.0218242457662455,NA,0.0586461171124904
97,-0.00850898894628108,-0.098633971635762,-0.0187460855251047,-0.014499946420315,-0.00466832246919825,-0.013513822127952,NA,0.0581090475045453
98,-0.0106808019875233,-0.0799057667094842,-0.0268768517579798,-0.0228635551445543,0.0227652935522903,0.0363620511397125,NA,0.0745257718396188
99,-0.0528059797252298,-0.0892809961336593,-0.0352124325816174,0.0147994692772384,-0.00521165602111295,-0.0388346460033966,NA,0.131985920328516
100,-0.0270902193709282,-0.0928897641222016,-0.0235558213526806,-0.0805457980929548,-0.00890663860375297,-0.0144517101981456,NA,0.0685371108046667
101,-0.0799973255071745,-0.0529678796729836,-0.0342154859207934,0.0124290175965889,-0.0348056654180783,-0.0132539076166535,NA,0.0495199247768607
102,-0.0665345129628615,-0.0602472596346925,-0.011885855490322,-0.0488519944272892,-0.0231581899134964,0.0174266927627081,NA,0.144445642418235
103,-0.0133668206122053,-0.0532614679510229,-0.028447597727983,-0.051106030863253,-0.0170969383976637,0.0282532964715889,NA,0.166731112425383
104,-0.0434090025754597,-0.0735597280703799,-0.0249957242654577,-0.0331759551700321,-0.0561261392757873,0.0537713597386497,NA,-0.0365102787920915
105,-0.0191832925151308,-0.0610022247597596,-0.025474764347105,-0.0921660501081192,-0.0267593662368091,0.0762719146240821,NA,0.0839408982128066
106,-0.00573200326894094,-0.0789057885801869,-0.0651459394406767,-0.0397104213013351,-0.039846210501784,-0.0383706583832275,NA,-0.0341310822357405
107,-0.0537719380301509,-0.0966454682724363,0.00692838210454386,-0.0293227060202096,-0.0338152283226221,0.0359685424767426,NA,-0.00389895512283484
108,-0.0620402438946255,-0.0840689970707018,-0.0137951606044153,-0.0417701376871344,0.00502928522802195,0.0160700157401017,NA,0.0131131763785801
109,-0.0470334224692484,-0.0846587875873284,-0.0403826969022281,0.000362330227499486,-0.011621844931018,0.0262167141741775,NA,0.0246928845814675
110,-0.0320865367034235,-0.0812317552614586,-0.0257073621831644,-0.0945630984256227,-0.00686762211205499,0.0612873695385241,NA,-0.0738308286145555
111,-0.0978884986917369,-0.118708851935922,-0.0445864885360141,-0.05975054096864,-0.0181819356629355,-0.0141228139179796,NA,0.0312356005879191
112,0.0128816992093563,-0.123065891082056,-0.0390582690236609,-0.0508995604838788,-0.00118128895467962,0.0424105503547222,NA,0.0104024197562432
113,0.0125798816692786,-0.112636984350438,-0.0286088621311385,-0.00856022422737834,-0.00273775172405412,-0.0214502166105141,NA,0.0770459410059967
114,-0.0499968540103931,-0.0388485807431292,-0.0148167307250844,-0.0545514791133755,-0.00307106272681035,0.00885319231004128,NA,-0.099146348256947
115,-0.0528019232370745,-0.106864130749136,-0.0128820097667395,-0.0146482075386323,-0.0090831090507472,0.0730867402016341,NA,0.174673950353796
116,-0.00365294757728454,-0.079572012257513,-0.0372281428310242,-0.00278380645983511,-0.0104292283958037,-0.0443048264507645,NA,0.0752276312313291
117,-0.0264016368541887,-0.0728698710121075,-0.0130841363800453,-0.0947118845501779,0.00943624217021199,0.12437994053862,NA,0.077459008753496
118,-0.0605314306553547,-0.0515410256446586,0.0097195872879173,0.0348377320160748,-0.0114024040506294,0.00673522714093236,NA,0.036979105807356
119,-0.0560204649303431,-0.126445552793676,-0.0241758474764628,-0.0187286715991684,0.00606985136409035,0.0264853423244532,NA,0.0883374500571308
120,-0.0786633505766821,-0.0831087174185945,-0.0555404107235874,-0.0457875456282437,-0.000782919145790317,0.0105195456412054,NA,-0.00800874584306432
121,-0.025114969858008,-0.0525751572325737,-0.0410659919923098,-0.0161372845740963,-0.0313013376958555,-0.00725061419974102,NA,0.00948181441700935
122,-0.0494154005676946,-0.108875369829629,-0.0484755808174055,-0.0502145636855205,-0.023190551933169,0.00506846261498964,NA,0.0541413820532715
123,-0.0391233125919775,-0.140526486252979,-0.0371924234771724,-0.0457942958391359,-0.0185687143374389,0.00891928822107999,NA,0.000681169726805042
124,-0.0403448177203441,-0.0480185550592546,0.0249466595159149,-0.0578554564014937,-0.00130113830055709,0.0605805928997486,NA,0.0701767439994753
125,-0.0323352072290768,-0.0397306942984663,-0.0101636569649492,0.052643840765033,-0.00625705396553781,-0.00396677037366866,NA,-0.0121105149067852
126,-0.0595891810444304,-0.0976124062913327,-0.00672097984850507,-0.0610692570186784,-0.0255201569407612,0.00881295185482245,NA,0.193150142007527
127,-0.0179571697569807,-0.128536564756712,-0.0389264941788368,0.0364042403603997,0.0146295964203032,0.0157393302319796,NA,-0.0690451480552519
128,-0.0103297060141042,-0.0870438035040217,-0.0478971489177062,-0.0328425268273463,-0.0404421022260367,-0.0152884918872595,NA,0.024185214559772
129,-0.0431060721717992,-0.115707884553554,-0.0530990350005456,-0.0820106724517001,-0.0176372438480839,-0.024913615751279,NA,0.0507587486200762
130,-0.0584062455741924,-0.0610212007386071,0.00359188271063068,-0.0237021053984089,-0.00207666322823827,0.0161694778189238,NA,0.0462360886731261
131,0.0114631973417784,-0.0943611997202945,-0.0840438550143327,-0.0771621552822132,-0.0024906864674562,0.0323052771931605,NA,0.0278508050584088
132,-0.00170347429615561,-0.0757501307876495,0.00306826683109757,-0.0606315050344077,-0.00405070468905074,-0.065926761309597,NA,0.0151691067868731
133,-0.0378907469037888,-0.0984606002981058,-0.0547606758321322,-0.04572048998316,-0.00548513678662994,0.0416378133298176,NA,-0.0417290212576789
134,-0.056499679321409,-0.0848660560577664,0.0290353165581278,0.00260242138257089,-0.0031671161730876,0.0782411981594457,NA,0.0446009764940303
