"L3_Q1","L3_Q2","L3_Q3","L3_Q4","L3_Q5","L3_bottom_decile","L3_risk_lt_5pct","L6_Q1","L6_Q2","L6_Q3","L6_Q4","L6_Q5","L6_bottom_decile","L6_risk_lt_5pct","L12_Q1","L12_Q2","L12_Q3","L12_Q4","L12_Q5","L12_bottom_decile","L12_risk_lt_5pct"
-0.0356050721958611,-0.0274684598770537,-0.0191776577880517,-0.0416720063774681,-0.0176366061706967,-0.00427130085259514,-0.00741240503386259,-0.00151450701509987,-0.0173676432788695,-0.0477207082778725,-0.0596331249477316,0.0225270606548409,0.000785288788921541,0.00976315372841767,-0.00382390712994759,-0.0333769947229581,-0.0380374036797413,-0.00258238304763975,0.00674488612531005,0.0219996759320179,0.053795409992215
-0.00102493630665523,-0.0330597558353068,-0.000938438089172877,-0.042316347100788,-0.115595373624293,-0.0116732890412596,0.0244107361281735,-0.00436462155975732,-0.0199101098461351,-0.0134045155541326,-0.072324646859825,-0.0390786346601099,-0.0141460395799945,-0.00832737234364986,0.00763889047581503,-0.0430417185551123,-0.0190127561425436,0.0171597524255394,-0.0108239150641996,0.0288053576941374,0.0203556284825437
-0.0198812968745491,-0.0000436665246496271,-0.0393009852101882,0.0101766708599741,-0.032293847375227,0.0134360687749161,0.0261251270333072,-0.00989010514868476,-0.0963375685741824,0.0321757968142385,-0.0253017755814259,0.0119155582143508,0.00703479427289994,0.00246041458543036,-0.0140155128701223,-0.0714077470262583,0.0156980091838069,-0.0292300518459829,-0.0691176769891276,-0.0243747939207665,0.00651696652955132
-0.013938149345466,-0.0224500917964628,-0.0231304953024176,-0.0411335008432469,-0.058649097341792,0.0274758141768641,0.0145204359627974,-0.0135087460449522,-0.0359033941701351,-0.0152269912336163,-0.04835738262812,-0.010153745151918,0.0167398624279573,0.028370733553789,-0.00763672988548855,-0.0262826835004683,-0.0300778928866475,0.0209812808855828,-0.0508784335864646,-0.00292814483483041,-0.00215861961190691
-0.0238073297100793,-0.0403909153686686,-0.013804420770304,-0.0101716735878189,-0.0596869172062798,-0.00406171745807549,-0.0163521159906741,-0.0239881877189106,-0.0555857464632236,-0.00617574124759482,0.0192405949532046,-0.0383702417743187,-0.0131916963166447,0.00895028404834158,-0.00508630923361409,-0.00262794492478645,-0.0265400684376666,-0.0209143559276454,0.0072789795582634,-0.0155783284776506,-0.0126281418243483
0.0170688950458912,-0.0285126785789142,-0.0153415819778814,-0.0471249502290202,-0.0128804001212525,0.0544952873110284,0.061771065747013,0.00770673149643232,-0.0606616850843267,-0.0130788470359631,-0.0291674702577247,-0.0409912398951253,0.0218271743518661,0.0298658282437334,-0.00805939182456596,-0.019780676715101,-0.0512119359819755,-0.00318955480577862,-0.00980813697913924,0.0250208765892233,0.0133933874602316
0.000564118145547944,-0.0361817018645512,-0.0239650753336589,-0.0520468878017262,-0.0460273278933051,0.0293666748170018,0.0294823702686391,-0.0433375612157537,-0.0209433694332033,-0.0290226615830419,-0.0606826955627574,-0.0735766848150805,-0.022727906222117,0.00939892760647984,-0.00887576675047985,-0.0429822670755315,-0.0510000138266748,-0.0245416801936761,-0.0540353283864091,0.000835790148612993,0.000474630697529961
-0.00880364246471708,-0.0270526587701028,-0.0307333082980901,-0.0303103282116065,-0.0325491555809446,0.00929459389626192,0.0136266213589005,0.012225651746055,-0.0672565038429898,0.0496524516393526,-0.0239848119771148,-0.0597750840139795,0.0220876268728978,0.0207176440573116,-0.0224857562495279,-0.053910813341941,-0.014562344427698,-0.0369313801367042,-0.00680577602129839,-0.0154616454756656,-0.0216580616541415
0.000180692296450492,-0.0033566111964531,-0.00720070165854206,-0.0164752881894051,-0.0394878940921982,0.047127666454829,0.0254015512052143,-0.00702983498862077,-0.0146271918669703,0.0107700641942202,-0.0584572794179146,-0.0126330188652962,0.0246753004732677,0.0177290637251719,-0.0161489128968969,0.00216207586269461,-0.0390937559548137,-0.0611980811638845,-0.0463868229489878,-0.00426168176878471,0.015043100023259
-0.0123890787188949,-0.0236377172952215,-0.0117006025076631,-0.0563623967425855,-0.0553257090698975,-0.00317013922609576,-0.0125690183841567,-0.0272309871245736,-0.011748606765513,-0.0118033130756743,-0.0203055291910439,-0.00649139607351318,-0.0167756807895957,-0.018783663004009,0.007213978559228,-0.0277077601866659,0.0144729961497779,-0.00304817697563928,-0.0430782208784646,0.018373468775869,0.0191192432833166
-0.00936747540805298,-0.0913192417485084,-0.0190214110073505,-0.0504526375581075,0.0341179803585397,-0.0180288728969758,-0.0135287401279382,-0.0249306731306608,-0.0170346922407687,-0.0389872200469217,-0.0563969447566037,-0.0730213249592442,-0.0128497531582003,-0.0207521604728132,-0.0363959258446511,-0.0318679473625253,-0.0307273676555252,-0.00996829834925825,-0.0333398174556054,0.00211389932622395,0.0167348345654601
-0.0223926393556389,-0.025989415400037,0.0514332142913743,-0.0257368509691403,-0.131096413089068,-0.0110813918634402,-0.0379887982336637,-0.0036172760401407,-0.0443724110926317,-0.000509152221737696,-0.0413172880006508,0.00791573805350815,-0.0026853950811552,-0.00467599699257887,-0.0101691693464204,-0.0442628715176732,-0.0307003101249849,-0.00737305914740136,-0.0195181695336533,0.0145838907612589,-0.00125586195588864
