"replicate","cancer_Q1","cancer_Q2","cancer_Q3","cancer_Q4","cancer_Q5","cancer_bottom_decile","cancer_risk_lt_5pct","other_Q1","other_Q2","other_Q3","other_Q4","other_Q5","other_bottom_decile","other_risk_lt_5pct"
73,-0.0404432743627042,-0.0417589714764961,0.00256700257105269,-0.0116492161001495,-0.0314395292899916,-0.0226762698166353,-0.0219209468958419,-0.0488683149107247,-0.0217810811311693,-0.0245937105623851,-0.0598056931933507,0.0201326225208085,-0.0010751066205321,0.00297761685703664
74,-0.0207245479048176,-0.0270907637078159,-0.00836274162702669,-0.0416072048687594,-0.0890082335555256,0.00531760250803059,0.0309674089408812,-0.0103942683656103,-0.0180153330319237,-0.0546875628106891,-0.0358377968740678,0.0207182945574107,0.0136027039290438,0.0399769438429712
75,-0.0108608241786519,-0.0239646841683332,-0.00397091660593191,-0.0328627164908541,-0.0276650198433316,-0.00922168758964841,-0.0112731963653884,-0.0450637055444227,-0.0480932127546274,-0.0528963298161944,-0.0219329019912901,-0.027930965715076,-0.0197259060037609,-0.00460518864274653
76,0.0220056031804601,-0.0258941082314776,0.0246625677808112,0.0359391850751124,-0.0126137124733381,0.0551103539122624,0.0511130490469721,-0.0189690956733391,0.00789762661807898,-0.0718577290546008,-0.0284380893948372,-0.000168954048965511,-0.0117440066488841,-0.0101471330753981
77,-0.0195264453427172,-0.0203907305028349,-0.023527038456691,-0.00513136087866289,-0.0244235333879345,-0.00325279186752203,-0.00989848868522659,-0.054998120238626,-0.0253124980109062,0.00260596423846561,-0.0734159653895287,-0.00274811566172969,-0.0358027919573705,0.000469304040848294
78,-0.025395860953076,-0.0572813690757435,0.0413934308644021,-0.082103182938609,-0.0779984832099266,0.000590790033859499,0.00511401000698523,-0.0452239486768638,-0.00658482337867897,-0.0339201715147597,-0.0458461529985189,0.0156110932953354,-0.0585218459201011,-0.0408792723020913
79,0.010252303503444,-0.00317213052904837,0.0229742307925083,-0.00761097886568898,-0.0428545702158291,0.0421911479261659,0.0306605902471443,-0.0435107954703274,-0.00880655063619386,-0.0642435924664868,-0.0368375522464407,0.00209909096137982,-0.00371795629023122,-0.0125068470160263
80,0.00348303434076687,-0.0544424963918546,0.0264446682647593,-0.0287376996915139,-0.0181831573235459,0.0652730275500316,0.0899604401930839,-0.0360299309674245,0.0266644321756637,-0.0378436126961427,-0.100521215671563,0.00213096235520363,-0.0200705612876413,-0.0240721274407949
81,-0.021768988352281,-0.0469018041463467,-0.0454613184255704,-0.0337699657554991,-0.0515472663227107,-0.00406023064250977,-0.0346464996809673,-0.0491360584441849,-0.0199275914790012,-0.0470535263094138,-0.0827217970024266,0.00595983944019575,-0.0572527343510497,-0.0349537017296625
82,-0.00694265788551401,-0.00729249634614836,-0.0364484962011274,-0.00745563144873654,0.0207145740687054,0.0296164564359,0.0312068940850752,-0.0387358529146269,-0.0401972936597746,-0.0363385569429836,-0.0695699875743176,-0.0105764645044313,0.015524020224571,0.0410432671857872
