"replicate","RD_3pct","RD_4pct","RD_5pct","RD_7pct","RD_10pct","RD_14pct","RD_20pct","RD_28pct","RD_40pct","RD_50pct","RD_P10","RD_P90","interaction_1","interaction_2","interaction_3"
15,0.00860783231441802,0.00553354837698958,0.0030857755954606,-0.000928051575573485,-0.00592422936052222,-0.0116312603833914,-0.0175966034676031,-0.020645334454446,-0.02073947658328,-0.0199625726180951,0.0022993757807114,-0.0204730402404978,-0.0243732828428473,-0.0364639605752275,-0.0199911267589402
16,-0.0230908808787931,-0.0257887044238289,-0.0276528061423177,-0.029896199002129,-0.0312594902119723,-0.0312891765866367,-0.0290183954109969,-0.0231289844311793,-0.0133148477175979,-0.00624434033491736,-0.0256006740692268,-0.0113296835059107,-0.00386846233189442,0.00351686674600002,0.0235272380892341
17,-0.0113650237482355,-0.0137590776866477,-0.0153126490720406,-0.0162376217557598,-0.014038467731902,-0.00785655686948033,-0.000449262751894731,0.00132088054557038,-0.00276217876999438,-0.00684245012096663,-0.0157353194228568,-0.00381794500258509,0.0234462685482949,0.00512211139451373,0.00930315342107917
18,0.00444759520212482,-0.0108039385951402,-0.021325305610055,-0.033365824544527,-0.0387471931422492,-0.0351848257252593,-0.0275508147919567,-0.0243902481187029,-0.0275376722711685,-0.0315616926783856,-0.0139220685593331,-0.0311553043759256,0.00938075406367974,-0.0615802568861645,0.00101338215768783
19,0.0130984373649173,0.00383934964654256,-0.00258632345642206,-0.00977245650745541,-0.0123235158979163,-0.00878613007172536,-0.00573254350298021,-0.0135256220937576,-0.032987788901275,-0.0479965404076081,0.000372149360095221,-0.0362190434712604,0.00535621428755504,-0.060391930522383,-0.0411038366356786
20,0.0509644821285937,0.0229217784034512,0.00149356253371772,-0.0273654165198748,-0.0485668199547395,-0.0555189997798714,-0.0530388421444041,-0.0481456076520662,-0.0424901079050514,-0.0388375468684644,-0.00335194017550476,-0.0419429226885437,-0.0475437895852362,-0.146601572317036,-0.0131606232339454
21,-0.0135854362793832,-0.00485990962425681,0.00157430515577687,0.00720775760558899,0.00179318942924067,-0.0197565575344206,-0.04780462378591,-0.0538015527729947,-0.0379328941411912,-0.0225861033278191,0.00358774265881146,-0.0369815684309963,-0.0819091546206551,-0.0106133771403135,-0.0297030707668571
22,0.0506488742563094,0.0263584912723591,0.00753842120119376,-0.018399061711995,-0.0353653780742889,-0.0340470222265861,-0.0231923281844066,-0.027148811720183,-0.0489807250904105,-0.0669247764188415,-0.0070723739073458,-0.0500820565910413,-0.0085189116107755,-0.147838654920988,-0.0501659380799079
23,0.0153858915329257,0.00831896087962913,0.00270859689278795,-0.00693021818934436,-0.0202500245715823,-0.0372601690841009,-0.0557484677803022,-0.0630252759459259,-0.057889916878582,-0.0510364546608651,0.000754342819377928,-0.0546451489480356,-0.0745012185322119,-0.088483787074572,-0.0461459038691734
24,0.00551522723869604,0.00504274665398225,0.00389589025087993,0.000140034129286777,-0.00754924841795636,-0.0190292873299574,-0.0279709644865155,-0.020092371668835,0.00541316648254783,0.0256809275248452,0.00496612682541139,0.00993536673671823,-0.0476360438960479,-0.00415247024735441,0.0277806082976633
25,0.0579886838506132,0.0291964920242903,0.006872282869324,-0.0245015633497609,-0.0467930657870352,-0.0487217865626751,-0.0312424454306019,-0.0245937050491548,-0.0409480287524557,-0.0574695168413849,-0.0125061470394957,-0.0456292719790874,-0.00820003832184086,-0.16331039213018,-0.0304215545911213
26,-0.0203454193638384,-0.0121999861355419,-0.00627696421244721,0.0002094562193627,0.00120139159960696,-0.00618598059572458,-0.0213718071151803,-0.0349778949811379,-0.0447476857345773,-0.0494512524189158,-0.00458612161701863,-0.0475252742200969,-0.0276136973528187,-0.00811985985094517,-0.0518668688250543
27,-0.022127275077931,-0.0170968581458368,-0.014684415995806,-0.0146365423083902,-0.0209026976753882,-0.0342286087833541,-0.0508024157893201,-0.0573270224819865,-0.0517368344703309,-0.044961890333998,-0.0171923860732308,-0.0491890574323243,-0.0566198187353843,-0.0179511270184171,-0.0323287291363902
28,0.0376772358870338,0.00750773714139501,-0.0132627056143673,-0.0367862192823481,-0.0465896237689503,-0.0395022551509699,-0.0235544774441411,-0.00984382709799824,0.0014739891067142,0.00768796016626202,0.00855435748274423,0.00378403186482715,-0.0079616393905893,-0.082161967411878,0.0407633594369461
29,-0.0247086828167648,-0.0172271029193336,-0.0118151349806362,-0.0071680672527794,-0.0114479674190484,-0.0287044198358422,-0.0558635053577941,-0.0759981285808111,-0.0885653400382938,-0.0943435587014589,-0.0106579266806191,-0.0895375545556483,-0.0679291145186416,-0.0488145321181272,-0.0902623130927187
30,-0.00978750637906333,-0.0209522290459136,-0.0289773922324318,-0.0386513895866516,-0.0437606366798586,-0.0420260647696287,-0.0400240092338594,-0.051092497116917,-0.0787717582021882,-0.10049364308423,-0.0260139901287624,-0.0875639277026009,0.00175658228016878,-0.0878424069583214,-0.0654380645587431
31,0.00913665345710011,-0.0059883197555121,-0.0171193762749341,-0.0303128785455118,-0.0357283789144754,-0.029077469140348,-0.0135862329573963,-0.00038762637963,0.00939025462962415,0.0143248864366941,-0.0164785825137355,0.0118066028016932,0.017214431827329,-0.0262062106170973,0.045279201075694
32,-0.0271105183112246,-0.0109420221949835,0.0000188474396876012,0.00849561313947347,-0.000987111239692119,-0.0335657232826495,-0.0729288443182586,-0.0825820308363453,-0.0605309798222062,-0.038098717340797,-0.0016993722017222,-0.0515493479609882,-0.124369259015573,-0.00703979929329784,-0.0459303648645681
33,0.0167603940878059,0.00630429768029688,-0.00205593101109543,-0.0159941478954973,-0.0338603703288083,-0.0542548935216448,-0.0715711017440055,-0.0740198660360769,-0.0649036209877442,-0.0566277175148939,-0.00194339291920621,-0.0647192213022642,-0.0814408433713428,-0.10983790496651,-0.0407929516783474
34,0.0714779861330264,0.0422187801146118,0.0203962344990403,-0.00696024426211615,-0.0225169426224561,-0.0199567370379985,-0.0105834887838231,-0.0121998660572129,-0.0280213810065815,-0.0418672236116159,0.0235025091638855,-0.0353666088893417,-0.00828297428532306,-0.152600973039443,-0.0385809421977127
35,0.0276154130929604,0.00769892868523396,-0.0075543839772411,-0.0263883493647318,-0.0331928094385896,-0.0198552928457823,0.00299632512695608,0.00625596506366526,-0.0110220211516436,-0.0266141518887429,-0.0156082743792006,-0.0133307071277328,0.0385980117173047,-0.0723290807883413,-0.000652884112559481
36,0.000733859210004704,0.00750747098789945,0.0120431416996505,0.0129062062225063,-0.00157488908000959,-0.0363034153416807,-0.0771606499291395,-0.0864738271920583,-0.0620561732305792,-0.0375586255695973,0.0129024426100748,-0.0526168271302913,-0.138051475332182,-0.0536245855011115,-0.0512299337064488
37,-0.00863997682073289,-0.00627584040726725,-0.00444463834222619,-0.00190516838573059,-0.000127380403301806,0.0000183682112776034,-0.000309908756442642,0.00422564275166985,0.0159541271260649,0.0252767190370441,-0.00271371431807548,0.0207307646799417,0.00359329239199635,0.0233587614484494,0.0282299813735754
38,0.0303918578858151,0.0140637806502715,0.00145122882624744,-0.0162761219988213,-0.0308658658027324,-0.0380438904281526,-0.0371328703793133,-0.0283413224439212,-0.0129647676117881,-0.00180655648817337,-0.0086147936994126,-0.0106286647264805,-0.0384925527178853,-0.077297377295698,0.0153830676694686
