"imputation","analysis","point_RD_pp","bootstrap_variance","bootstrap_SE_pp","effective_bootstrap_B"
14,"bottom_decile",2.53563157180968,0.000532616935397924,2.3078495085207,1000
14,"risk_lt_5pct",2.98826846386883,0.00065549186357942,2.56025753309979,1000
15,"Q1",-1.20820348333281,0.000256677965216778,1.60211724045645,1000
15,"Q2",-1.97765677625949,0.000600187989296913,2.44987344427608,1000
15,"Q3",-0.349790241698536,0.000709932808283392,2.6644564329022,1000
15,"Q4",-4.48057756892849,0.000942843074369332,3.0705749858444,1000
15,"Q5",-4.75134718792475,0.00102096626758929,3.19525627702895,1000
15,"bottom_decile",2.04422939270805,0.000435057044544129,2.08580211080565,1000
15,"risk_lt_5pct",2.02700749275804,0.000554185538734184,2.35411456546657,1000
16,"Q1",-0.780158039630723,0.000267159747628906,1.63450221054884,1000
16,"Q2",-2.47208631707348,0.000496234098046682,2.22763124876332,1000
16,"Q3",-1.23614140356515,0.000745262721446289,2.72995003882175,1000
16,"Q4",-4.75930584134056,0.000918975536875816,3.03146092977597,1000
16,"Q5",-4.77771997231028,0.00108029743861859,3.28678785232419,1000
16,"bottom_decile",0.282648511950579,0.000525248726976408,2.29183054996744,1000
16,"risk_lt_5pct",1.62848951875328,0.000654125731054428,2.55758818235936,1000
17,"Q1",0.631233924588691,0.000237538371322106,1.54122798872232,1000
17,"Q2",-4.25401090887424,0.000596728436572161,2.44280256380282,1000
17,"Q3",-1.52776920411671,0.000674666852932442,2.59743499039426,1000
17,"Q4",-4.35094974585123,0.000858996722907138,2.93086458729696,1000
17,"Q5",-4.69599192981347,0.00097175802011154,3.11730335404102,1000
17,"bottom_decile",1.30006786259932,0.000447056332652995,2.11437066914246,1000
17,"risk_lt_5pct",0.809214857827818,0.00052922024674515,2.30047874744617,1000
18,"Q1",-0.732231449621225,0.000264553264973481,1.62650934511143,1000
18,"Q2",-1.42949919485071,0.000496852010141795,2.22901774363013,1000
18,"Q3",-1.06407417269796,0.000786825283388104,2.80504061180601,1000
18,"Q4",-5.21706962967632,0.000872525741068643,2.95385466986554,1000
18,"Q5",-5.49065736798553,0.00100841289007167,3.17555174744747,1000
18,"bottom_decile",2.31132501442492,0.000546879793165752,2.33854611493071,1000
18,"risk_lt_5pct",2.75057388485208,0.000623983675990273,2.49796652497641,1000
19,"Q1",-0.538166976251549,0.000264239669196478,1.6255450445819,1000
19,"Q2",-3.61058956209242,0.00055492161545007,2.3556774300614,1000
19,"Q3",-1.13499468366314,0.000717193558374652,2.67804697190817,1000
19,"Q4",-3.28028417995514,0.000856625066268433,2.92681578899054,1000
19,"Q5",-5.15576298345297,0.00105690599979997,3.25100907381074,1000
19,"bottom_decile",0.946921501839029,0.000456921643482432,2.13757255662219,1000
19,"risk_lt_5pct",1.56536945968771,0.000472420245897899,2.17352305232289,1000
20,"Q1",-0.786632655276713,0.000265169268487435,1.62840188064076,1000
20,"Q2",-4.20938920648424,0.000480460200554371,2.19194023767614,1000
20,"Q3",-0.905215958773412,0.000728486379344309,2.69904868304429,1000
20,"Q4",-0.688385628633303,0.000824460159603464,2.87134142798007,1000
20,"Q5",-6.96574345694153,0.00104797384906933,3.23724242074845,1000
20,"bottom_decile",1.67433956505455,0.000505407183091287,2.24812629336363,1000
20,"risk_lt_5pct",2.66092709698101,0.00058149185447979,2.41141422090812,1000
