"replicate","Q1","Q2","Q3","Q4","Q5","bottom_decile","risk_lt_5pct"
62,-0.0450809816778852,-0.0221369396085255,-0.0123696343349675,-0.0532212398573043,-0.0224852776197262,-0.0298307536898174,-0.0303410736092696
63,-0.0426415790204707,-0.00893332728545781,-0.0604976287509395,-0.0879849028074528,-0.0269111812117639,0.0102748485607693,0.0109477899275261
64,0.00368783092017072,-0.0461652241156869,-0.0161560055563747,-0.0312407697437666,-0.010744105369141,-0.0108157876838641,-0.0173378703439904
65,-0.037186520496112,-0.0258558241301889,-0.0311965489043068,-0.0650974393414343,-0.0102745947139908,-0.0464139216155629,-0.0495174173090012
66,-0.0110966491459958,-0.0389914395302932,-0.022878575181448,-0.0664107702058304,-0.0280706607166776,0.00449508921420803,0.00861644234308448
67,-0.0104539702657964,-0.0632358030856012,-0.0360501039932786,-0.0392965642446639,0.0299813694051333,0.00329077570525443,0.00752557783773457
68,-0.0271046074570315,-0.0534375179760533,-0.0412713350797705,-0.0527405660954348,-0.0230420188557297,-0.0355293151347581,-0.0348399539128204
69,-0.0356099624637953,-0.0758675591947216,0.00736668851931972,-0.0314346703858192,-0.00960788074882998,-0.00589453598174762,0.00811691770802619
70,-0.0372361731802496,-0.0309760809055989,-0.0376932934171864,-0.0569979431281563,-0.0216597863713082,-0.0441484686795449,-0.0480053928827274
71,-0.0376094604200022,-0.00365877049292569,-0.0218427351939807,-0.0604425036257088,-0.0211586312681638,-0.0367247349099827,-0.015751485000923
72,-0.0387156924601917,-0.0413691697692543,-0.0553869734595204,-0.0723552422486935,-0.00182962043948792,-0.028775734257785,-0.0351114496848458
73,-0.0448089592633225,-0.0389398450674456,-0.0635969669934357,-0.0370901968028693,0.00945028327650238,-0.0398496693088162,-0.0286318442537554
74,-0.0637420510946616,-0.00528744726727119,-0.0493233325160577,-0.0528679766352892,-0.023486429416242,-0.0123389833446188,-0.01927750662771
75,-0.056794919889334,-0.0205574825630267,-0.0284971714298931,-0.0403658768206746,0.0160922406282898,-0.0175142923616974,-0.0192445184319326
76,-0.0420785160714936,-0.00114686930300145,-0.0425310164469081,-0.0891127006058503,0.0264446726772013,-0.0212313746892356,-0.0252213777668009
77,-0.0278510289625306,-0.0603958381204301,-0.052331975227142,-0.0135075487951139,-0.00441559699792227,-0.0368680128481583,-0.0376016931422486
78,-0.0173139661886274,-0.0316957579333499,-0.0277538510873348,-0.0334565236614943,-0.00997054209807866,-0.00821422663856115,-0.00687764363513686
79,-0.00581423419163006,-0.0444929787489208,-0.0220963452440802,-0.08034447116103,-0.00754558491619688,-0.00568300432687271,0.00829235910085185
80,-0.00588602326904178,-0.00209129338773024,-0.065981766067388,-0.0519774618334546,-0.0133982545174259,0.0218407888491736,0.00763229758540274
81,-0.023939590050454,-0.0179736736810212,-0.0343476260364511,-0.093199248580474,0.00763758491487347,0.0189073155340971,0.0265074776202033
82,-0.0200563039374454,-0.0462343755167924,-0.0106590592822631,-0.0705621566998123,-0.0180318029961434,0.0301789005172229,0.0318200429244964
83,-0.0287870549295339,-0.0771825036342561,-0.0174036118182745,-0.0544183585424653,-0.0245957954526971,-0.00843009883579078,-0.0129854836016174
84,-0.0195110849069572,-0.0823353800712981,-0.0470610152895293,-0.025058111301463,-0.0038807860066418,-0.028985078505434,-0.0198054445453246
85,-0.0116492308035589,-0.0278740921699835,-0.00888932479065731,-0.0510931375774434,0.0244880920741122,-0.00829561106445341,-0.021923710526036
86,-0.0321636236835892,-0.0133493076169778,-0.0387182097881065,-0.0712044225338804,-0.025651103393963,-0.00882356249201476,0.00301455331498333
87,-0.0417785864505536,-0.065971134455365,-0.0526726804483585,-0.0466088324489752,0.000227501246975931,-0.020431468764794,0.0012631411867767
88,-0.0483807741869526,-0.0130344013334387,-0.03890721653724,0.00562627484549005,-0.0202887356599931,-0.0505439923311313,-0.0472345565021621
89,-0.0455101419532407,-0.0229120784002071,-0.0762787522354838,-0.0337928846934463,0.0347473564735064,0.019999111341376,-0.0198532133906267
90,-0.032061941626805,-0.0624251900683213,-0.0691611778608254,-0.0675281060495843,0.0310260351685076,-0.0362656418027706,0.000211904594906581
91,-0.00840670655415006,-0.0105036479197139,-0.0789157741534663,-0.0299850376741127,-0.028703950687183,-0.0125271183164303,-0.0130626198190148
92,-0.0161142257529325,-0.0235726321979233,-0.0762248919450582,-0.0382406864774824,-0.0225347281780822,0.00576868395465633,0.0160814431406419
93,-0.0161706939485961,-0.0268564579363105,-0.0733677583569722,-0.0550200906941675,-0.0151459328495583,-0.00257749311299144,-0.0200930204262909
94,-0.0324173165966175,-0.0324052495759983,-0.0283490247318504,-0.0955516880241558,-0.0136519401211545,-0.0323552502933316,-0.0183313736622133
95,0.00568074799218732,-0.0675711398290507,-0.0701993431929883,-0.0593472887490616,0.00698992163231274,-0.0142089101199603,-0.0239800344231748
96,-0.0371677921451749,-0.0160881958094999,-0.0609253019817856,-0.0807214166066524,-0.00553847271009697,-0.0220254943610632,-0.0145084662171208
97,-0.0191474368725802,-0.0246083031150727,-0.0290046078833221,-0.0680712807437033,0.0170427675173916,0.0255617678512837,0.0159097516204352
98,-0.0310465523435041,-0.0631130827158254,-0.0549062640611669,-0.0852296048612919,-0.0177021678015651,-0.0190638936296616,-0.00765834288096141
99,-0.0620073922870998,-0.00317783479204245,-0.0298003890983429,-0.0788741467540445,-0.0106975050015775,-0.021169582800098,-0.0316687360707994
100,-0.0294452208030391,-0.065251662189001,-0.029454305164444,-0.0620765963055442,-0.0619896365287653,-0.0543672946285395,-0.054305216523727
101,-0.0396553220883964,-0.0323731636685684,-0.0434544322629035,-0.0902542095531252,-0.00931745661035767,-0.0180197743023631,-0.0259443577273311
102,-0.0355185546904237,-0.0494638480598492,-0.00571293851427104,-0.0488585502924507,0.00656445134396234,0.0227615787488544,0.0168275694362226
103,-0.0486872330869256,0.00357542781969063,-0.059731229786648,-0.0679115823809306,0.00295456564906098,-0.0110334183690183,-0.0111599631268394
104,-0.0355185539722855,-0.0222512535569618,-0.00588097686176857,-0.080773365845894,-0.0000163294715870982,-0.0160428050033894,0.00197416322530698
105,-0.0152712038342707,0.00252895799328157,-0.0877860671191079,-0.0464014907107923,-0.0128878782270497,-0.00501454594798675,-0.00910629782695539
106,-0.0452839449402165,-0.0341992256724204,-0.0101338049738891,-0.0591568336984173,-0.00508665777424322,-0.00304949742614825,-0.0158630479833846
107,-0.0110632997886765,-0.033758480456345,-0.00481215102407667,-0.0617884440903897,0.0427160776696957,-0.0198481378755696,-0.00751946633931228
108,-0.0282007774114911,-0.0118037267329312,-0.0434241561016915,-0.0168135949127943,-0.00444467496911491,-0.0171164537296584,-0.0644264624402355
109,-0.0533476422687305,-0.0442628700607098,-0.0461411619571219,-0.0961270688669068,-0.0224377975222068,-0.0409792577993597,-0.0294998832237647
110,-0.0332771194208572,-0.00578051450677942,-0.0869267154840633,-0.0609697053844925,-0.0357492205819675,-0.0336474670848714,-0.0161629934136568
111,-0.041993362134349,-0.0357246297699584,-0.0524827495104513,-0.0612655000322239,-0.000942898106020718,-0.0246183676635649,-0.0193056601586419
112,-0.0393230990905352,-0.0221850927211519,-0.0290259542161181,-0.076416563996044,0.0105015628159709,-0.0269361329563592,0.00670964553672575
113,-0.0219885838538041,-0.0508354393607975,-0.0872156228085227,-0.0676221249968597,0.0278475026641204,0.0114834935138231,0.0288397377686268
114,-0.0574960013244233,-0.0411230828776424,-0.0114370297878374,-0.0811705734199388,-0.0137338616286837,-0.0457503397770668,-0.054431826476499
115,-0.0184003333002222,-0.0390055420959035,-0.04470151776225,-0.000967993062471875,0.00468460111208939,0.00920308621285336,-0.0104609771046954
116,-0.0268554187185867,-0.0186439940035457,0.0106909698921016,-0.0456751931424516,0.00842423632414073,0.0163192719922835,0.0187082273075368
117,-0.0302206824529692,0.0152028245013783,-0.0443444011603218,-0.0581757504890189,-0.014944288009339,-0.0245171486070005,-0.0277488266289773
118,-0.033651061921593,-0.04287188810062,-0.0178833438581103,-0.087924520766437,-0.0018475159022239,-0.00985056118296304,-0.0317294100467791
119,0.000797356583854672,-0.0164016110985296,-0.0465653876422264,-0.0423688064219107,-0.0233411118607046,0.00617391520135409,-0.00411492372896423
120,-0.0547499974202728,-0.0198969638403431,-0.0267708721829383,-0.0894041468241895,-0.036629434185917,0.0186413608941328,0.0398776241714226
121,-0.0232767989935038,-0.0444469554307766,-0.0190267617307556,-0.0461461340678131,-0.00133431879097844,0.0192212673324072,0.0233612423587182
122,-0.0240380662274566,-0.0316878825078217,-0.0176259511765512,-0.118211210538051,-0.0293862712360353,0.0181283826087756,0.017431680036771
123,-0.0303472986265684,0.000137157299425608,-0.0277326386436049,-0.0542383030652533,0.00143836892900286,0.0101052510770829,0.0406245261262948
124,-0.014220987907853,-0.0221485914564056,-0.0866012510402145,-0.0712861854838509,0.00620829602821239,0.00305772469690644,0.0254471068215477
125,-0.0412379830594373,-0.0504579118683552,-0.00153285663795458,-0.00907361516742611,-0.0171650522775107,-0.0196231957320047,-0.00147649219598323
126,-0.0667120147164433,-0.0348559831617987,-0.0755789895874395,-0.0255798509541401,-0.0170915008414339,-0.0513060241589062,-0.0576524877791515
127,-0.0202061541155434,-0.0516176225140194,-0.0207394384643589,-0.0516389444649161,0.0203338985884957,-0.0288729877050194,-0.0527259494822576
128,-0.0382497794311087,-0.0400382407361986,-0.0276865244924118,-0.0455509220926473,-0.0194202479235996,-0.00330884895352697,-0.00779167495854863
129,-0.0482895485255146,-0.0140151529804748,-0.0471483968939317,-0.0437506274723011,0.0345275063696077,-0.0221550820252681,-0.0295778172781543
130,-0.0338817470420495,-0.0301997154410824,-0.061313396341744,-0.0320649428954413,-0.00588528580725618,-0.0282629122529989,-0.0215885696851177
131,-0.0317441981815301,-0.00440727047982969,-0.0500630226142858,-0.0494573152330536,0.0117317436250767,0.0113242255427521,0.00932132667034011
132,-0.0121444237747472,-0.0402153905771736,-0.0473057624345759,-0.0299054368423327,-0.014459229153965,0.0418544471868896,0.0211054949022441
133,0.0070563617358637,-0.0151302608923222,-0.101316357214042,-0.02226113995322,0.0284057034921008,0.0190733120019781,0.0124924607471847
134,-0.021969116841612,-0.0530822368785705,-0.0113035289836297,-0.0706753153253689,-0.0406409977171247,0.00183878351738179,-0.00481567666912537
135,-0.0352162304932192,-0.0435590696187692,-0.00189391123169096,-0.0724571328550149,0.0139131047398708,0.0146947438494981,-0.00152023156048359
136,0.00994327416196175,-0.0170793264436077,-0.041613820046962,-0.0641659197814675,-0.00397672331076396,0.0395491399522709,0.0312071047031887
137,-0.0210221065310047,-0.0344383549724527,-0.0451319985922379,-0.101356518676689,-0.00886255467988073,-0.021763389133571,0.00590275403018711
138,0.0187105802256382,-0.0439965757383379,-0.0509130424351246,-0.0356135430525731,0.00356981474153897,-0.00221326511410683,-0.00244225005899304
139,-0.0405959451592428,-0.0180609540448066,-0.0194633535633229,-0.0884530420423693,-0.033659445430568,-0.0157075167367963,-0.00463909024211673
140,-0.03792173638005,-0.076960311545935,0.00139160550292362,-0.0396347104661022,-0.00319332660361636,-0.0199809416503695,-0.00320913385443175
141,-0.0198434122178729,-0.059329918844276,-0.0197144039708299,-0.0299161395818437,0.0304772037940641,0.00256488585651278,0.00506762794136586
142,-0.0289265300032219,-0.0187114469526182,-0.0677712565069766,-0.0580204586449781,-0.011199955244102,-0.0189539118278245,-0.00580790914065712
143,-0.0233163174700819,-0.024936493935827,-0.0399127994598249,-0.0726645539916557,0.0346619039322071,-0.0271928760999473,-0.0285648733363759
144,-0.00595276912092256,-0.00228283473346585,-0.0318519726703248,-0.0536561573039896,-0.000483542057217609,0.0353003813087471,0.0300382417701528
145,-0.0247463441678446,-0.032169796453342,-0.0484786461056327,-0.0383005820595182,-0.0217601645624347,0.00354971933980933,0.0179278242580685
146,-0.0475803276871948,-0.0250398611563054,-0.0504678383561398,-0.0593298010807665,0.0140177438114604,-0.0509453383511645,-0.0251253367130469
147,-0.0559819886670358,-0.0473745614552762,-0.0518288666482449,-0.0593103494121536,0.00545982231140257,-0.0300872574255969,-0.0424412849932051
148,-0.0756735181152469,-0.0275502022308198,-0.0128889155654956,-0.0393483500033761,-0.00267854702707172,-0.0520893706512912,-0.0549488757646433
149,-0.0236773161008305,-0.0331336351156978,-0.0784748972288362,-0.019246057775932,0.0278311226263052,0.0393599781165294,0.0396606675286223
150,-0.0326964974244618,-0.0094707280464924,-0.0359635755332389,-0.0541601182661001,0.0247824996827754,0.0262921637571738,0.0280503285876038
151,0.00399862313004695,-0.0487091544676234,-0.0249888441399072,-0.0799866718910617,0.000618175347845737,0.0450992563979602,0.0637524450750962
152,-0.0330986580553835,-0.0724473320872474,-0.0359357482455955,-0.0517385281311533,0.00964967797063285,-0.0287079963652494,-0.0372404870250537
153,-0.0597751993794245,-0.0333742924769537,-0.0450253871704803,-0.0201776690234615,-0.00641928360739423,-0.00376182116322424,-0.00296574895911394
154,-0.0253565414161497,-0.0106685595174361,-0.00397325501534213,-0.0571833062178971,-0.0119765130243877,-0.00630025657414205,-0.00626123814128906
155,-0.0243187942542509,-0.0139075990997307,-0.0540126798191589,-0.034078988669557,-0.0127866015479223,-0.00469007490328846,-0.0029252339923042
156,0.00817248657529618,-0.00643266362931447,-0.0111469177071761,-0.0971159020422614,-0.0156587443626117,0.0577420366049344,0.047505200533207
